,symbol,price,change,eps,pe
0,PLBC,17.55,-0.45,2.87,6.1149826
0,CPSI,23.1,-0.93,1.43,16.153847
0,CVLT,41.47,-1.22,-0.372,
0,BANC,10.23,-0.19,-0.19,
0,KMX,71.07,-2.58,5.33,13.333959
0,GTS,16.74,-0.19,3.97,4.2166247
0,RRGB,13.78,-0.85,-0.61,
0,CIT,17.53,-1.45,-2.46,
0,SAFT,78.6,-5.52,6.46,12.167182
0,HA,12.97,-1.43,4.71,2.7537155
0,CIDM,0.5006,-0.0194,-0.421,
0,AMTD,37.99,-1.28,3.524,10.780364
0,CEVA,29.96,-1.39,0.001,29959.998
0,WYNN,80.83,-4.7,1.15,70.28696
0,SNX,85.81,-1.75,10.408,8.244619
0,SAIA,91.35,-1.17,4.509,20.259481
0,ALNY,128.97,-2.73,-8.11,
0,PRTK,3.93,-0.16,-3.927,
0,FOLD,11.3,-0.51,-1.482,
0,PFS,13.66,-0.69,1.49,9.167785
0,MOH,173.25,9.28,11.392,15.20804
0,CSII,40.3,-1.7,-0.212,
0,PRAA,26.89,-0.85,1.89,14.227513
0,HMSY,28.51,-0.165,0.98,29.091837
0,APEI,24.58,-1.19,0.62,39.64516
0,TPX,52.68,-1.07,4.02,13.104478
0,VRTU,32.54,-0.46,0.959,33.93118
0,AI,2.72,-0.11,0.31,8.774194
0,HSON,9.13,-0.37,-0.306,
0,WAL,33.62,-2.26,4.514,7.4479394
0,CCK,62.52,-1.89,3.659,17.086636
0,PRSC,57.75,-0.26,-0.265,
0,CONN,6.26,-0.5,1.82,3.4395604
0,MCHX,1.59,-0.08,-0.09,
0,CNO,13.48,-0.58,2.61,5.164751
0,MNOV,5.43,0.28,-0.252,
0,CMP,46.32,-2.84,1.81,25.591162
0,BCBP,9.9,-0.22,0.993,9.969789
0,PJC,79.62,-1.2,6.318,12.60209
0,MNTA,29.99,-1.71,-2.92,
0,LQDT,4.82,-0.18,-0.585,
0,LUNA,7.24,-0.39,0.16,45.25
0,OLBK,28.83,0.12,2.142,13.459384
0,WLL,1.24,-0.02,-2.642,
0,KRO,9.21,-0.28,0.752,12.247341
0,NNI,46.79,-1.36,3.541,13.213782
0,TDG,349.45,-13.63,12.836,27.224213
0,MRLN,8.88,-1.76,0.818,10.855745
0,UTI,6.4,-0.03,-0.087,
0,FTNT,104.34,-3.4,1.87,55.79679
0,MEIP,2.64,-0.07,-0.699,
0,WLK,40.38,-3.07,3.25,12.424616
0,SLCT,8.1,-0.1,0.68,11.911765
0,HTH,17.8,-1.5,2.573,6.9179945
0,AIZ,102.32,-3.92,5.84,17.520548
0,VG,8.09,-0.27,-0.08,
0,GTE,0.3059,-0.0335,0.1,3.059
0,MGI,1.47,-0.19,-0.923,
0,FSLR,41.98,-2.03,-1.091,
0,UCTT,16.22,-2.17,-0.023,
0,ANGO,10.06,-0.37,1.291,7.7924094
0,GMO,0.181,-0.0092,-0.066,
0,GNW,3.39,-0.24,0.67,5.0597014
0,MKTX,449.79,-5.22,5.971,75.32909
0,BGS,19.64,0.22,1.17,16.786325
0,WCG,18.2802,-0.6204,,
0,BLKB,53.28,-1.98,0.25,213.12
0,MPWR,189.0,-10.91,2.572,73.48367
0,RF,10.17,-0.58,1.275,7.976471
0,CLUB,0.5534,-0.0429,-0.7,
0,NEU,410.52,-0.92,24.836,16.52923
0,GHL,8.9,-1.77,0.812,10.960591
0,TMUS,86.2,-1.6,4.02,21.442785
0,CNS,56.67,-1.07,2.529,22.408066
0,MOS,11.15,-0.36,-2.781,
0,OMER,16.13,-0.49,-1.706,
0,LINC,2.35,-0.15,0.078,30.128202
0,DPZ,357.3,-4.63,10.407,34.33266
0,HIL,2.14,-0.11,0.25,8.56
0,WTI,2.54,-0.23,0.517,4.912959
0,SBNY,101.51,-5.11,10.136,10.014799
0,OPHC,2.02,-0.18,-0.58,
0,ENS,55.78,-2.61,3.651,15.278006
0,MORN,151.44,-4.52,3.299,45.90482
0,TXRH,44.86,-2.23,2.46,18.235773
0,MIC,27.54,-0.05,1.808,15.232302
0,HURN,46.97,-9.07,-0.176,
0,NURO,2.66,0.2,-5.694,
0,SPOK,9.9,-0.36,-0.845,
0,VBFC,27.12,-0.48,3.158,8.587714
0,CVGI,2.15,-0.27,0.51,4.2156863
0,TTGT,22.3,-1.02,0.6,37.166664
0,TBBK,7.53,0.56,0.797,9.44793
0,PBH,40.05,-0.64,-0.669,
0,ZAGG,3.2,-0.1,0.479,6.6805844
0,NP,47.18,-1.68,3.26,14.472393
0,ORA,61.67,-0.74,1.72,35.85465
0,KFFB,6.34,0.3,0.119,53.27731
0,EXLS,61.41,-0.32,1.95,31.492308
0,CHCI,2.14,0.05,0.136,15.735294
0,LVS,45.61,-2.41,2.752,16.5734
0,BXC,5.37,-0.1,-1.89,
0,MNTX,4.05,0.05,-0.431,
0,JMP,2.42,-0.08,-1.183,
0,LHCG,125.66,-4.33,3.07,40.9316
0,BFIN,7.98,-0.29,0.687,11.615721
0,CNSL,5.66,-0.61,0.028,202.14285
0,ARC,0.68,-0.02,0.067,10.149254
0,CE,79.31,-3.76,5.986,13.249248
0,HUN,16.0,-0.81,2.433,6.576243
0,ULH,14.16,0.23,1.168,12.123288
0,DLB,58.13,-1.9,1.974,29.447823
0,WEX,127.2,-5.12,2.26,56.283184
0,GPRE,5.65,-0.22,-4.378,
0,ROX,,,,
0,SUMR,3.39,-0.37,-1.982,
0,KOP,13.71,-2.05,3.155,4.3454833
0,PKBK,14.08,-0.01,2.494,5.6455493
0,KNDI,3.42,-0.14,-0.14,
0,BLDR,17.235,-1.115,1.658,10.395055
0,OFLX,88.7,-1.4,1.713,51.7805
0,ZUMZ,21.29,0.15,2.62,8.125955
0,CORE,28.18,-0.56,1.25,22.544
0,CTRN,11.0,-0.36,1.41,7.801419
0,EVRI,4.57,-0.38,0.21,21.761906
0,CBLI,1.68,-0.02,-0.234,
0,SEM,14.6,-2.47,1.203,12.136327
0,THS,50.66,-1.07,-6.423,
0,RAIL,1.36,-0.14,-6.087,
0,KRA,13.9,-1.71,7.688,1.8080124
0,ALBO,21.33,-1.13,-5.042,
0,ESXB,5.59,0.0,0.593,9.426644
0,ATRC,43.56,0.44,-1.209,
0,RUTH,9.86,-1.395,1.44,6.847222
0,CF,26.61,-0.89,2.23,11.932735
0,EXPE,67.29,-3.69,3.77,17.848806
0,ROLL,120.55,-6.13,4.979,24.211689
0,SONA,10.1,0.03,1.11,9.099099
0,BKCC,2.74,-0.2,-0.1,
0,DUK,82.64,-2.02,5.058,16.338472
0,IGC,0.52,-0.02,-0.145,
0,HOMB,14.55,-0.78,1.31,11.106871
0,FNF,26.01,-1.04,2.88,9.03125
0,BKD,3.12,-0.49,-1.441,
0,MERC,9.34,-0.74,-0.98,
0,EHTH,106.43,-0.27,2.951,36.065742
0,CROX,22.07,-2.18,1.5,14.713333
0,UEC,1.14,0.04,-0.109,
0,CCO,0.8883,-0.0765,-0.88,
0,LYV,41.17,-3.7,-0.023,
0,UAA,9.8,-0.62,0.203,48.275864
0,LDOS,97.89,-0.92,4.6,21.280436
0,MGYR,9.45,0.45,0.416,22.716345
0,HEES,15.17,-1.09,2.42,6.2685947
0,LSBK,13.34,1.33,0.649,20.5547
